identifier,title,date
NOTES: Please help us complete the dates which currently are missing the days for most dates. Please check against the PDF and don't assume the consecutive numbers can be depended on.,,
https://archive.org/details/shenbao-1880.01-1,申報 1880.01 - 1 - 02399,1880-01-01 <- Complete the dates like this. Please check against the original PDF. Don't assume consecutive dates as some issues are missing or dates off. 
https://archive.org/details/shenbao-1880.01-10,申報 1880.01 - 10 - 02408,1880-01-10
https://archive.org/details/shenbao-1880.01-11,申報 1880.01 - 11 - 02409,1880-01-11
https://archive.org/details/shenbao-1880.01-12,申報 1880.01 - 12 - 02410,1880-01-12
https://archive.org/details/shenbao-1880.01-13,申報 1880.01 - 13 - 02411,1880-01
https://archive.org/details/shenbao-1880.01-14,申報 1880.01 - 14 - 02412,1880-01
https://archive.org/details/shenbao-1880.01-15,申報 1880.01 - 15 - 02413,1880-01
https://archive.org/details/shenbao-1880.01-16,申報 1880.01 - 16 - 02414,1880-01
https://archive.org/details/shenbao-1880.01-17,申報 1880.01 - 17 - 02415,1880-01
https://archive.org/details/shenbao-1880.01-18,申報 1880.01 - 18 - 02416,1880-01
https://archive.org/details/shenbao-1880.01-19,申報 1880.01 - 19 - 02417,1880-01
https://archive.org/details/shenbao-1880.01-2,申報 1880.01 - 2 - 02400,1880-01
https://archive.org/details/shenbao-1880.01-20,申報 1880.01 - 20 - 02418,1880-01
https://archive.org/details/shenbao-1880.01-21,申報 1880.01 - 21 - 02419,1880-01
https://archive.org/details/shenbao-1880.01-22,申報 1880.01 - 22 - 02420,1880-01
https://archive.org/details/shenbao-1880.01-23,申報 1880.01 - 23 - 02421,1880-01
https://archive.org/details/shenbao-1880.01-24,申報 1880.01 - 24 - 02422,1880-01
https://archive.org/details/shenbao-1880.01-25,申報 1880.01 - 25 - 02423,1880-01
https://archive.org/details/shenbao-1880.01-26,申報 1880.01 - 26 - 02424,1880-01
https://archive.org/details/shenbao-1880.01-27,申報 1880.01 - 27 - 02425,1880-01
https://archive.org/details/shenbao-1880.01-28,申報 1880.01 - 28 - 02426,1880-01
https://archive.org/details/shenbao-1880.01-29,申報 1880.01 - 29 - 02427,1880-01
https://archive.org/details/shenbao-1880.01-3,申報 1880.01 - 3 - 02401,1880-01
https://archive.org/details/shenbao-1880.01-30,申報 1880.01 - 30 - 02428,1880-01
https://archive.org/details/shenbao-1880.01-31,申報 1880.01 - 31 - 02429,1880-01
https://archive.org/details/shenbao-1880.01-4,申報 1880.01 - 4 - 02402,1880-01
